0,1,2,3,4,5,6,7,8,9,10
abrasive cleaner,yogurt,frozen meals,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
yogurt,margarine,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
beef,bottled water,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
white bread,coffee,,,,,,,,,
ketchup,specialty chocolate,,,,,,,,,
chicken,cereals,,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
female sanitary products,pot plants,,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
coffee,tidbits,,,,,,,,,
chicken,yogurt,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
pet care,newspapers,dog food,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
organic sausage,herbs,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
pastry,whipped/sour cream,whipped/sour cream,oil,,,,,,,
white bread,soda,,,,,,,,,
beef,curd,,,,,,,,,
bottled water,rolls/buns,waffles,,,,,,,,
butter milk,newspapers,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
bottled water,yogurt,,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pip fruit,soda,,,,,,,,,
shopping bags,cream cheese ,,,,,,,,,
other vegetables,white bread,soft cheese,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
pastry,yogurt,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
yogurt,baking powder,,,,,,,,,
whole milk,tropical fruit,chocolate,,,,,,,,
pet care,napkins,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
beef,domestic eggs,,,,,,,,,
root vegetables,butter,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
frankfurter,bottled beer,other vegetables,bottled beer,,,,,,,
